provider,market_type,instance_type,location,location_type,region,gpu_count,price_per_hour_usd,unit,gpu_model,tflops_total,cost_per_tflop_hour_usd
AWS,on-demand,p5.48xlarge,US East (N. Virginia),AWS Region,us-east-1,8,55.04,Hrs,H100,7600,0.007242105263157894
AWS,on-demand,p5.48xlarge,EU (London),AWS Region,,8,71.552,Hrs,H100,7600,0.009414736842105264
AWS,on-demand,p5.48xlarge,US East (N. Virginia),AWS Region,us-east-1,8,0.0,Hrs,H100,7600,0.0
AWS,on-demand,p5.48xlarge,Asia Pacific (Mumbai),AWS Region,,8,66.048,Hrs,H100,7600,0.008690526315789473
AWS,on-demand,p5.48xlarge,Canada (Central),AWS Region,,8,63.296,Hrs,H100,7600,0.008328421052631579
AWS,on-demand,p5.48xlarge,EU (Stockholm),AWS Region,,8,58.8928,Hrs,H100,7600,0.007749052631578947
AWS,on-demand,p5.48xlarge,US West (Oregon),AWS Region,us-west-2,8,55.04,Hrs,H100,7600,0.007242105263157894
AWS,on-demand,p5.48xlarge,US West (Oregon),AWS Region,us-west-2,8,0.0,Hrs,H100,7600,0.0
AWS,on-demand,p5.48xlarge,US West (N. California),AWS Region,,8,68.8,Hrs,H100,7600,0.009052631578947368
AWS,on-demand,p5.48xlarge,US East (Ohio),AWS Region,us-east-2,8,55.04,Hrs,H100,7600,0.007242105263157894
AWS,on-demand,p5.48xlarge,Asia Pacific (Tokyo),AWS Region,ap-northeast-1,8,68.8,Hrs,H100,7600,0.009052631578947368
AWS,on-demand,p5.48xlarge,US East (Atlanta),AWS Local Zone,,8,55.04,Hrs,H100,7600,0.007242105263157894
AWS,on-demand,p5.48xlarge,Asia Pacific (Jakarta),AWS Region,,8,75.9552,Hrs,H100,7600,0.009994105263157896
AWS,on-demand,p5.48xlarge,Asia Pacific (Sydney),AWS Region,ap-southeast-2,8,71.552,Hrs,H100,7600,0.009414736842105264
AWS,on-demand,p5.48xlarge,AWS GovCloud (US-West),AWS Region,,8,66.048,Hrs,H100,7600,0.008690526315789473
AWS,on-demand,p5.48xlarge,US East (Ohio),AWS Region,us-east-2,8,0.0,Hrs,H100,7600,0.0
AWS,on-demand,p5.48xlarge,South America (Sao Paulo),AWS Region,,8,92.4672,Hrs,H100,7600,0.012166736842105263
AWS,on-demand,p4d.24xlarge,AWS GovCloud (US-West),AWS Region,,8,26.3511,Hrs,A100,2496,0.01055733173076923
AWS,on-demand,p4d.24xlarge,EU (Stockholm),AWS Region,,8,23.71569,Hrs,A100,2496,0.009501478365384616
AWS,on-demand,p4d.24xlarge,EU (London),AWS Region,,8,28.54493,Hrs,A100,2496,0.011436270032051282
AWS,on-demand,p4d.24xlarge,Asia Pacific (Singapore),AWS Region,ap-southeast-1,8,26.34917,Hrs,A100,2496,0.010556558493589744
AWS,on-demand,p4d.24xlarge,EU (London),AWS Region,,8,0.0,Hrs,A100,2496,0.0
AWS,on-demand,p4d.24xlarge,Canada (Central),AWS Region,,8,25.25174,Hrs,A100,2496,0.010116883012820514
AWS,on-demand,p4d.24xlarge,Asia Pacific (Tokyo),AWS Region,ap-northeast-1,8,30.09784,Hrs,A100,2496,0.012058429487179488
AWS,on-demand,p4d.24xlarge,EU (Ireland),AWS Region,eu-west-1,8,23.71569,Hrs,A100,2496,0.009501478365384616
AWS,on-demand,p4d.24xlarge,US West (Oregon),AWS Region,us-west-2,8,21.95764,Hrs,A100,2496,0.00879713141025641
AWS,on-demand,p4d.24xlarge,EU (Frankfurt),AWS Region,eu-central-1,8,27.43298,Hrs,A100,2496,0.010990777243589744
AWS,on-demand,p4d.24xlarge,Asia Pacific (Seoul),AWS Region,,8,30.41028,Hrs,A100,2496,0.01218360576923077
AWS,on-demand,p4d.24xlarge,US East (N. Virginia),AWS Region,us-east-1,8,21.957642,Hrs,A100,2496,0.008797132211538461
AWS,on-demand,p4d.24xlarge,US West (Oregon),AWS Region,us-west-2,8,0.0,Hrs,A100,2496,0.0
AWS,on-demand,p4d.24xlarge,EU (Stockholm),AWS Region,,8,0.0,Hrs,A100,2496,0.0
AWS,on-demand,p4d.24xlarge,Asia Pacific (Mumbai),AWS Region,,8,26.3444,Hrs,A100,2496,0.010554647435897437
AWS,on-demand,p4d.24xlarge,Asia Pacific (Sydney),AWS Region,ap-southeast-2,8,28.54493,Hrs,A100,2496,0.011436270032051282
AWS,on-demand,p4d.24xlarge,US East (Ohio),AWS Region,us-east-2,8,0.0,Hrs,A100,2496,0.0
AWS,on-demand,p4d.24xlarge,US East (Ohio),AWS Region,us-east-2,8,21.95764,Hrs,A100,2496,0.00879713141025641
AWS,on-demand,p4d.24xlarge,South America (Sao Paulo),AWS Region,,8,35.5569,Hrs,A100,2496,0.014245552884615384
AWS,on-demand,p4d.24xlarge,US East (N. Virginia),AWS Region,us-east-1,8,0.0,Hrs,A100,2496,0.0
AWS,on-demand,g5.xlarge,Asia Pacific (Seoul),AWS Region,,1,1.237,Hrs,A10G,72,0.017180555555555557
AWS,on-demand,g5.xlarge,Asia Pacific (Sydney),AWS Region,ap-southeast-2,1,1.308,Hrs,A10G,72,0.018166666666666668
AWS,on-demand,g5.xlarge,Asia Pacific (Jakarta),AWS Region,,1,1.408,Hrs,A10G,72,0.019555555555555555
AWS,on-demand,g5.xlarge,Asia Pacific (Tokyo),AWS Region,ap-northeast-1,1,1.459,Hrs,A10G,72,0.02026388888888889
AWS,on-demand,g5.xlarge,US East (N. Virginia),AWS Region,us-east-1,1,1.006,Hrs,A10G,72,0.013972222222222223
AWS,on-demand,g5.xlarge,US East (Ohio),AWS Region,us-east-2,1,1.006,Hrs,A10G,72,0.013972222222222223
AWS,on-demand,g5.xlarge,Middle East (UAE),AWS Region,,1,1.234,Hrs,A10G,72,0.017138888888888888
AWS,on-demand,g5.xlarge,EU (Frankfurt),AWS Region,eu-central-1,1,1.258,Hrs,A10G,72,0.017472222222222222
AWS,on-demand,g5.xlarge,EU (Stockholm),AWS Region,,1,1.067,Hrs,A10G,72,0.014819444444444444
AWS,on-demand,g5.xlarge,Asia Pacific (Mumbai),AWS Region,,1,1.208,Hrs,A10G,72,0.016777777777777777
AWS,on-demand,g5.xlarge,Canada (Central),AWS Region,,1,1.117,Hrs,A10G,72,0.01551388888888889
AWS,on-demand,g5.xlarge,Israel (Tel Aviv),AWS Region,,1,1.17915,Hrs,A10G,72,0.016377083333333334
AWS,on-demand,g5.xlarge,South America (Sao Paulo),AWS Region,,1,1.71,Hrs,A10G,72,0.02375
AWS,on-demand,g5.xlarge,US West (Oregon),AWS Region,us-west-2,1,1.006,Hrs,A10G,72,0.013972222222222223
AWS,on-demand,g5.xlarge,EU (Ireland),AWS Region,eu-west-1,1,1.123,Hrs,A10G,72,0.015597222222222222
